river_names,river_length,monitoring_locations,parameters,year,value,unit,note
Ganga, 2525,  57,Temp ,2001,10.1-33,0C,
Ganga, 2525,  57,pH,2001,6.1-9.0,,
Ganga, 2525,  57,Conductivity ,2001,75-4910,µmhos/cm,
Ganga, 2525,  57,DO,2001,1.2-11.4,mg/I,
Ganga, 2525,  57,BOD,2001,0.2-16.5,mg/I,
Ganga, 2525,  57,COD,2001,5-59.0,mg/I,
Ganga, 2525,  57,Total Coliform,2001,80-35x105,MPN/100 ml,
Ganga, 2525,  57,Faecal Coliform ,2001,8-25x105,MPN/100 ml,
Yamuna, 1376, 27,Temp ,2001,10-33,0C,
Yamuna, 1376, 27,pH,2001,6.1-9,,
Yamuna, 1376, 27,Conductivity ,2001,71-1714,µmhos/cm,
Yamuna, 1376, 27,DO,2001,0.5-19,mg/I,
Yamuna, 1376, 27,BOD,2001,0.4-51,mg/I,
Yamuna, 1376, 27,COD,2001,5-144,mg/I,
Yamuna, 1376, 27,Total Coliform,2001,14-86x105,MPN/100 ml,
Yamuna, 1376, 27,Faecal Coliform ,2001,11-91x105,MPN/100 ml,
Narmada,1312,21,Temp ,2001,18-36,0C,
Narmada,1312,21,pH,2001,7-8.6,,
Narmada,1312,21,Conductivity ,2001,101-1124,µmhos/cm,
Narmada,1312,21,DO,2001,3.6-5.7,mg/I,
Narmada,1312,21,BOD,2001,0.3-5.7,mg/I,
Narmada,1312,21,COD,2001,10-66.6,mg/I,
Narmada,1312,21,Total Coliform,2001,4-2400,MPN/100 ml,
Narmada,1312,21,Faecal Coliform ,2001,2-64,MPN/100 ml,
Godawari, 1465, 35,Temp ,2001,20-33,0C,
Godawari, 1465, 35,pH,2001,6.9-8.8,,
Godawari, 1465, 35,Conductivity ,2001,102-1240,µmhos/cm,
Godawari, 1465, 35,DO,2001,1.2-11.5,mg/I,
Godawari, 1465, 35,BOD,2001,0.5-66,mg/I,
Godawari, 1465, 35,COD,2001,11.2-156,mg/I,
Godawari, 1465, 35,Total Coliform,2001,70-1800,MPN/100 ml,
Godawari, 1465, 35,Faecal Coliform ,2001,3-20,MPN/100 ml,
Krishna, 1401, 24,Temp ,2001,18-37,0C,
Krishna, 1401, 24,pH,2001,7-9,,
Krishna, 1401, 24,Conductivity ,2001,75-1900,µmhos/cm,
Krishna, 1401, 24,DO,2001,2.6-10,mg/I,
Krishna, 1401, 24,BOD,2001,0.3-10.5,mg/I,
Krishna, 1401, 24,COD,2001,7-72,mg/I,
Krishna, 1401, 24,Total Coliform,2001,17-2400,MPN/100 ml,
Krishna, 1401, 24,Faecal Coliform ,2001,3-1600,MPN/100 ml,
Cauvery, 800, 29,Temp ,2001,22-39,0C,
Cauvery, 800, 29,pH,2001,7-8.9,,
Cauvery, 800, 29,Conductivity ,2001,75-3460,µmhos/cm,
Cauvery, 800, 29,DO,2001,0.0-17.9,mg/I,
Cauvery, 800, 29,BOD,2001,0.1-48,mg/I,
Cauvery, 800, 29,COD,2001,8-62,mg/I,
Cauvery, 800, 29,Total Coliform,2001,20-16000,MPN/100 ml,
Cauvery, 800, 29,Faecal Coliform ,2001,3-5000,MPN/100 ml,
Mahanadi, 851, 22,Temp ,2001,16-38,0C,
Mahanadi, 851, 22,pH,2001,7-9,,
Mahanadi, 851, 22,Conductivity ,2001,92-3100,µmhos/cm,
Mahanadi, 851, 22,DO,2001,5.1-8.8,mg/I,
Mahanadi, 851, 22,BOD,2001,1.5,mg/I,
Mahanadi, 851, 22,COD,2001,6.6-50,mg/I,
